
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.551
Model:,OLS,  Adj. R-squared (uncentered):,   0.442
Method:,Least Squares,  F-statistic:       ,   5.077
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:22:18,  Log-Likelihood:    ,-1.3237e+05
No. Observations:,  7080,  AIC:               ,2.675e+05
Df Residuals:,  5704,  BIC:               ,2.769e+05
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_A FERREIRA INDUSTRIA COMERCIO E EXPORTACAO LTDA, -3.29e+06, 4.73e+07,   -0.070, 0.945, -9.6e+07, 8.95e+07
Cliente_A GRINGS S/A, 9.957e+06, 3.06e+07,    0.326, 0.744,-4.99e+07, 6.98e+07
"Cliente_A,M,C, TEXTIL LTDA,",-2.405e+05,  3.2e+07,   -0.008, 0.994, -6.3e+07, 6.25e+07
"Cliente_A,W, FABER CASTELL S,A,",-5.644e+04, 2.71e+07,   -0.002, 0.998,-5.31e+07,  5.3e+07
"Cliente_AAM DO BRASIL LTDA,", 6.227e+06, 3.22e+07,    0.194, 0.847,-5.68e+07, 6.93e+07
Cliente_AAT INTERNATIONAL LTDA,-1.283e+07, 3.74e+07,   -0.343, 0.732,-8.62e+07, 6.06e+07
Cliente_ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO, -9.83e+06, 3.72e+07,   -0.264, 0.791,-8.27e+07,  6.3e+07
Cliente_ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA,-3.198e+06, 3.31e+07,   -0.096, 0.923,-6.82e+07, 6.18e+07
"Cliente_ACECO TI LTDA,",-5.988e+06,  4.4e+07,   -0.136, 0.892,-9.23e+07, 8.04e+07
"Cliente_ACOS VILLARES S/A,", 4.518e+07, 2.82e+07,    1.604, 0.109,   -1e+07,    1e+08
Cliente_ACOTECNICA S/A INDUSTRIA E COMERCIO,-5.905e+06, 3.15e+07,   -0.187, 0.851,-6.77e+07, 5.59e+07
Cliente_ACRINOR ACRILONITRILA DO NORDESTE SA, -3.91e+06, 3.74e+07,   -0.104, 0.917,-7.73e+07, 6.95e+07
Cliente_ACUCAREIRA QUATA S/A, 4.585e+05,  2.8e+07,    0.016, 0.987,-5.44e+07, 5.53e+07
Cliente_ACUMULADORES MOURA S A, -7.65e+06, 3.46e+07,   -0.221, 0.825,-7.56e+07, 6.03e+07
Cliente_ADAMI SA MADEIRAS, 1.904e+06, 2.87e+07,    0.066, 0.947,-5.44e+07, 5.82e+07
"Cliente_ADATEX S/A, INDUSTRIAL E COMERCIAL",-7.716e+06, 3.31e+07,   -0.233, 0.816,-7.27e+07, 5.73e+07
Cliente_ADESTE INDUSTRIA DE PRODUTOS ANIMAIS LTDA,  5.47e+05, 3.31e+07,    0.017, 0.987,-6.44e+07, 6.55e+07
"Cliente_ADIBOARD S,A, - GRUPO ITAUTEC PHILCO",-1.722e+04,  4.4e+07,   -0.000, 1.000,-8.64e+07, 8.63e+07
"Cliente_ADIENT DO BRASIL BANCOS AUTOMOTIVOS LTDA,", 3.874e+06,  4.4e+07,    0.088, 0.930,-8.25e+07, 9.02e+07
Cliente_ADM DO BRASIL LTDA,-2.728e+05, 3.98e+07,   -0.007, 0.995,-7.82e+07, 7.77e+07
Cliente_AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO, 1.079e+08, 4.84e+07,    2.227, 0.026, 1.29e+07, 2.03e+08
"Cliente_AETHRA SISTEMAS AUTOMOTIVOS S,A,",-9.029e+06, 3.17e+07,   -0.285, 0.776,-7.11e+07, 5.31e+07
Cliente_AFFONSO DITZEL & CIA LTDA,-2.029e+06, 4.57e+07,   -0.044, 0.965,-9.16e+07, 8.75e+07
Cliente_AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA, 2.468e+07, 2.93e+07,    0.841, 0.400,-3.29e+07, 8.22e+07
"Cliente_AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA,", 3.055e+07, 3.05e+07,    1.001, 0.317,-2.93e+07, 9.04e+07
Cliente_AGCOMEX COMERCIAL EXPORTADORA LTDA,-2.019e+07, 4.49e+07,   -0.449, 0.653,-1.08e+08, 6.79e+07
Cliente_AGRALE SOCIEDADE ANONIMA, 1.133e+07, 2.84e+07,    0.399, 0.690,-4.44e+07,  6.7e+07
