
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_A FERREIRA INDUSTRIA COMERCIO E EXPORTACAO LTDA,    5.2203,    1.087,    4.801, 0.000,    3.089,    7.352
Cliente_A GRINGS S/A,    8.0270,    0.702,   11.433, 0.000,    6.651,    9.403
"Cliente_A,M,C, TEXTIL LTDA,",    6.6411,    0.736,    9.026, 0.000,    5.199,    8.083
"Cliente_A,W, FABER CASTELL S,A,",    7.4409,    0.622,   11.958, 0.000,    6.221,    8.661
"Cliente_AAM DO BRASIL LTDA,",    6.8016,    0.739,    9.199, 0.000,    5.352,    8.251
Cliente_AAT INTERNATIONAL LTDA,    4.9056,    0.861,    5.701, 0.000,    3.219,    6.593
Cliente_ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO,    6.6673,    0.854,    7.805, 0.000,    4.993,    8.342
Cliente_ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA,    7.2946,    0.762,    9.575, 0.000,    5.801,    8.788
"Cliente_ACECO TI LTDA,",    6.4916,    1.012,    6.414, 0.000,    4.507,    8.476
"Cliente_ACOS VILLARES S/A,",    8.8685,    0.647,   13.704, 0.000,    7.600,   10.137
Cliente_ACOTECNICA S/A INDUSTRIA E COMERCIO,    6.4626,    0.724,    8.923, 0.000,    5.043,    7.882
Cliente_ACRINOR ACRILONITRILA DO NORDESTE SA,    7.2771,    0.861,    8.457, 0.000,    5.590,    8.964
Cliente_ACUCAREIRA QUATA S/A,    7.2995,    0.643,   11.348, 0.000,    6.039,    8.560
Cliente_ACUMULADORES MOURA S A,    6.4727,    0.796,    8.131, 0.000,    4.912,    8.033
Cliente_ADAMI SA MADEIRAS,    6.9682,    0.660,   10.561, 0.000,    5.675,    8.262
"Cliente_ADATEX S/A, INDUSTRIAL E COMERCIAL",    5.9621,    0.762,    7.826, 0.000,    4.469,    7.456
Cliente_ADESTE INDUSTRIA DE PRODUTOS ANIMAIS LTDA,    7.7691,    0.762,   10.198, 0.000,    6.276,    9.263
"Cliente_ADIBOARD S,A, - GRUPO ITAUTEC PHILCO",    7.7111,    1.012,    7.617, 0.000,    5.727,    9.696
"Cliente_ADIENT DO BRASIL BANCOS AUTOMOTIVOS LTDA,",    8.0563,    1.012,    7.959, 0.000,    6.072,   10.041
Cliente_ADM DO BRASIL LTDA,    8.4497,    0.914,    9.244, 0.000,    6.658,   10.242
Cliente_AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO,   10.7081,    1.113,    9.619, 0.000,    8.526,   12.890
"Cliente_AETHRA SISTEMAS AUTOMOTIVOS S,A,",    6.2928,    0.728,    8.646, 0.000,    4.866,    7.720
Cliente_AFFONSO DITZEL & CIA LTDA,    4.3866,    1.050,    4.179, 0.000,    2.329,    6.444
Cliente_AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA,    9.1037,    0.674,   13.499, 0.000,    7.782,   10.426
"Cliente_AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA,",    8.9893,    0.701,   12.822, 0.000,    7.615,   10.364
Cliente_AGCOMEX COMERCIAL EXPORTADORA LTDA,    5.8780,    1.033,    5.691, 0.000,    3.853,    7.903
Cliente_AGRALE SOCIEDADE ANONIMA,    8.1688,    0.653,   12.512, 0.000,    6.889,    9.449
Cliente_AGRICOLA E PECUARIA MORRO AZUL LTDA,    7.1322,    1.064,    6.704, 0.000,    5.047,    9.218
Cliente_AGRICOLA FRAIBURGO SA,    7.0453,    0.686,   10.266, 0.000,    5.700,    8.391
Cliente_AGRICOLA JANDELLE S/A,    6.1440,    0.738,    8.326, 0.000,    4.697,    7.591
Cliente_AGRO FOOD IMPORTACAO E EXPORTACAO LTDA,    6.3066,    0.887,    7.113, 0.000,    4.569,    8.045
Cliente_AGRO INDUSTRIAL LAZZERI LTDA,    7.0885,    0.760,    9.325, 0.000,    5.598,    8.579
Cliente_AGRO LATINA LTDA,    7.4879,    0.685,   10.929, 0.000,    6.145,    8.831
Cliente_AGROBRAS AGRICOLA TROPICAL BRASIL,    5.4616,    1.146,    4.767, 0.000,    3.215,    7.708
