
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1912.
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:56,  Log-Likelihood:    , -7770.1
No. Observations:,  7079,  AIC:               ,1.829e+04
Df Residuals:,  5702,  BIC:               ,2.775e+04
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Contribuição do UF ao PIB Nacional (%),  -15.1298,    2.398,   -6.309, 0.000,  -19.831,  -10.429
Proporção do Valor Setorial ao PIB do UF,    0.6250,    0.071,    8.792, 0.000,    0.486,    0.764
Cliente_A FERREIRA INDUSTRIA COMERCIO E EXPORTACAO LTDA,    2.2096,    1.128,    1.958, 0.050,   -0.002,    4.422
Cliente_A GRINGS S/A,    4.9397,    0.776,    6.364, 0.000,    3.418,    6.461
"Cliente_A,M,C, TEXTIL LTDA,",    3.7817,    0.797,    4.743, 0.000,    2.219,    5.345
"Cliente_A,W, FABER CASTELL S,A,",    4.6424,    0.694,    6.690, 0.000,    3.282,    6.003
"Cliente_AAM DO BRASIL LTDA,",    4.0627,    0.797,    5.097, 0.000,    2.500,    5.625
Cliente_AAT INTERNATIONAL LTDA,    2.1143,    0.906,    2.333, 0.020,    0.338,    3.891
Cliente_ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO,    3.8670,    0.902,    4.288, 0.000,    2.099,    5.635
Cliente_ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA,    4.3070,    0.819,    5.261, 0.000,    2.702,    5.912
"Cliente_ACECO TI LTDA,",    3.5956,    1.051,    3.422, 0.001,    1.536,    5.655
"Cliente_ACOS VILLARES S/A,",    6.0858,    0.716,    8.503, 0.000,    4.683,    7.489
Cliente_ACOTECNICA S/A INDUSTRIA E COMERCIO,    3.7404,    0.783,    4.777, 0.000,    2.206,    5.275
Cliente_ACRINOR ACRILONITRILA DO NORDESTE SA,    4.5483,    0.904,    5.032, 0.000,    2.776,    6.320
Cliente_ACUCAREIRA QUATA S/A,    4.3703,    0.712,    6.138, 0.000,    2.975,    5.766
Cliente_ACUMULADORES MOURA S A,    3.5522,    0.855,    4.157, 0.000,    1.877,    5.227
Cliente_ADAMI SA MADEIRAS,    4.0618,    0.731,    5.559, 0.000,    2.629,    5.494
"Cliente_ADATEX S/A, INDUSTRIAL E COMERCIAL",    2.9030,    0.819,    3.546, 0.000,    1.298,    4.508
Cliente_ADESTE INDUSTRIA DE PRODUTOS ANIMAIS LTDA,    4.8602,    0.819,    5.932, 0.000,    3.254,    6.466
"Cliente_ADIBOARD S,A, - GRUPO ITAUTEC PHILCO",    5.0673,    1.051,    4.820, 0.000,    3.006,    7.128
"Cliente_ADIENT DO BRASIL BANCOS AUTOMOTIVOS LTDA,",    5.2158,    1.052,    4.957, 0.000,    3.153,    7.278
Cliente_ADM DO BRASIL LTDA,    5.6486,    0.967,    5.844, 0.000,    3.754,    7.543
Cliente_AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO,    8.3587,    1.135,    7.366, 0.000,    6.134,   10.583
"Cliente_AETHRA SISTEMAS AUTOMOTIVOS S,A,",    3.5445,    0.787,    4.505, 0.000,    2.002,    5.087
Cliente_AFFONSO DITZEL & CIA LTDA,    1.7380,    1.082,    1.606, 0.108,   -0.383,    3.859
