
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.993
Model:,OLS,  Adj. R-squared (uncentered):,   0.993
Method:,Least Squares,  F-statistic:       ,3.456e+04
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:20,  Log-Likelihood:    , -11803.
No. Observations:,  7079,  AIC:               ,2.367e+04
Df Residuals:,  7049,  BIC:               ,2.387e+04
Df Model:,    30,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Contribuição do UF ao PIB Nacional (%),  -18.6022,    2.477,   -7.511, 0.000,  -23.457,  -13.747
Proporção do Valor Setorial ao PIB do UF,    0.7401,    0.079,    9.382, 0.000,    0.585,    0.895
UF_Alagoas,   14.9934,    0.586,   25.596, 0.000,   13.845,   16.142
UF_Amazonas,   16.1806,    0.245,   66.054, 0.000,   15.700,   16.661
UF_Bahia,   16.4794,    0.176,   93.579, 0.000,   16.134,   16.825
UF_Ceará,   15.4297,    0.142,  108.656, 0.000,   15.151,   15.708
UF_Espírito Santo,   15.6546,    0.170,   91.950, 0.000,   15.321,   15.988
UF_Goiás,   15.1974,    0.353,   43.036, 0.000,   14.505,   15.890
UF_Mato Grosso,   14.6520,    0.291,   50.324, 0.000,   14.081,   15.223
UF_Mato Grosso do Sul,   14.2991,    0.750,   19.062, 0.000,   12.829,   15.770
UF_Minas Gerais,   17.8127,    0.245,   72.648, 0.000,   17.332,   18.293
UF_Paraná,   16.5128,    0.184,   89.673, 0.000,   16.152,   16.874
UF_Paraíba,   14.9956,    0.505,   29.700, 0.000,   14.006,   15.985
UF_Pará,   14.4704,    0.351,   41.253, 0.000,   13.783,   15.158
UF_Pernambuco,   15.1723,    0.165,   91.750, 0.000,   14.848,   15.496
UF_Piauí,   13.8773,    0.491,   28.251, 0.000,   12.914,   14.840
UF_Rio Grande do Norte,   14.6310,    0.233,   62.669, 0.000,   14.173,   15.089
UF_Rio Grande do Sul,   16.6124,    0.187,   88.791, 0.000,   16.246,   16.979
UF_Rio de Janeiro,   18.2550,    0.323,   56.451, 0.000,   17.621,   18.889
UF_Rondônia,   13.5537,    0.445,   30.477, 0.000,   12.682,   14.425
UF_Santa Catarina,   16.0354,    0.141,  114.098, 0.000,   15.760,   16.311
UF_Sergipe,   13.2128,    0.684,   19.315, 0.000,   11.872,   14.554
UF_São Paulo,   22.2590,    0.835,   26.654, 0.000,   20.622,   23.896
UF_Tocantins,   12.1922,    0.779,   15.650, 0.000,   10.665,   13.719
Setor CNAE_COMERCIO E SERVICOS,   -0.5606,    0.133,   -4.208, 0.000,   -0.822,   -0.299
Setor CNAE_INDUSTRIA DE TRANSFORMAÇÃO,    0.0168,    0.106,    0.158, 0.874,   -0.192,    0.225
Setor CNAE_INDUSTRIA EXTRATIVA,   -0.1448,    0.387,   -0.374, 0.709,   -0.904,    0.614
Porte do cliente_MICRO,   -2.4582,    0.188,  -13.085, 0.000,   -2.827,   -2.090
Porte do cliente_MÉDIA,   -1.7013,    0.042,  -40.628, 0.000,   -1.783,   -1.619
Porte do cliente_PEQUENA,   -2.3791,    0.136,  -17.505, 0.000,   -2.646,   -2.113


Table 3: t
Omnibus:,14.721,  Durbin-Watson:     ,   1.489
Prob(Omnibus):, 0.001,  Jarque-Bera (JB):  ,  16.652
Skew:, 0.058,  Prob(JB):          ,0.000242
Kurtosis:, 3.208,  Cond. No.          ,    199.

