UF,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Acre,2971301.0,3377234.0,3784003.0,4300581.0,4661807.0,5458172.0,6410255.0,7407821.0,8342356.0,8949434.0,10137925.0,11473930.0,13458698.0,13622802.0,13754240.0,14272941.0,15331123.0,15630017.0,16476371.0,21374440.0
Alagoas,11536853.0,12624030.0,14044907.0,15484521.0,17395671.0,19871266.0,22262295.0,24182388.0,27133038.0,31657321.0,34650397.0,37282529.0,40974994.0,46367211.0,49468741.0,52851067.0,54413047.0,58963729.0,63202349.0,76265620.0
Amapá,3173343.0,3413195.0,3824740.0,4306410.0,5280822.0,6012523.0,6950413.0,7490656.0,8237795.0,9409228.0,11130868.0,12763486.0,13400284.0,13861293.0,14342135.0,15481908.0,16795207.0,17496661.0,18469115.0,20099851.0
Amazonas,22093338.0,25862134.0,31090696.0,33980877.0,39933213.0,43479773.0,48115265.0,50559840.0,60877123.0,70734401.0,72242701.0,83051233.0,86668644.0,86568184.0,89039782.0,93240191.0,100109235.0,108181091.0,116019139.0,131531038.0
Bahia,58842976.0,67174227.0,77931725.0,88291883.0,95347802.0,109329528.0,121667455.0,137942481.0,154419547.0,166602817.0,182572530.0,204844274.0,223929966.0,245043690.0,258738970.0,268724090.0,286239541.0,293240504.0,305320813.0,352617852.0
Brasil,1488787276.0,1717950386.0,1957751224.0,2170584503.0,2409449916.0,2720262951.0,3109803097.0,3333039339.0,3885847000.0,4376382000.0,4814760000.0,5331618957.0,5778952780.0,5995787000.0,6269328000.0,6585479000.0,7004141000.0,7389131000.0,7609597000.0,9012142000.0
Ceará,28718840.0,32687418.0,36890816.0,41059459.0,46500321.0,50818749.0,60415574.0,67199958.0,79336299.0,89695828.0,96973753.0,109036556.0,126054472.0,130629849.0,138422521.0,147921534.0,155903825.0,163575327.0,166914536.0,194884802.0
Distrito Federal,53902200.0,58456124.0,67076505.0,75732681.0,84661406.0,93404001.0,110299557.0,124323753.0,144174102.0,154568954.0,164101336.0,175906726.0,197432059.0,215612863.0,235540045.0,244722249.0,254817205.0,273613711.0,265847334.0,286943782.0
Espírito Santo,27048997.0,31519106.0,39732638.0,47020588.0,53463868.0,60658395.0,72091158.0,69215361.0,85310285.0,105976222.0,116850581.0,117274347.0,128783781.0,120365980.0,109264423.0,113399937.0,137020055.0,137345595.0,138445922.0,186336505.0
Goiás,38629365.0,45557889.0,51103815.0,53865113.0,61375403.0,71410568.0,82417564.0,92865743.0,106770109.0,121296721.0,138757825.0,151300175.0,165015318.0,173632450.0,181759604.0,191948301.0,195681724.0,208672492.0,224126112.0,269627874.0
Maranhão,15924003.0,19502900.0,22127132.0,25104209.0,29710643.0,30730866.0,37932402.0,40994571.0,46309633.0,52143535.0,60490109.0,67694845.0,76842028.0,78475994.0,85310038.0,89542757.0,98179496.0,97339938.0,106915962.0,124980720.0
Mato Grosso,19190653.0,26697097.0,33388670.0,34257055.0,30700165.0,38027578.0,49202505.0,52693417.0,56600955.0,69153957.0,79665691.0,89212919.0,101234520.0,107418319.0,123880296.0,126845898.0,137442853.0,142122028.0,178649564.0,233390203.0
Mato Grosso do Sul,16440424.0,21846566.0,23372308.0,23725258.0,26667894.0,30084765.0,36219263.0,39517742.0,47270656.0,55133162.0,62013201.0,69203201.0,78950133.0,83082555.0,91892285.0,96396434.0,106969142.0,106943246.0,122627726.0,142203766.0
Minas Gerais,124071066.0,144189094.0,171870934.0,188364436.0,212659547.0,240355239.0,278607619.0,287443848.0,351123418.0,400124687.0,442282830.0,488004903.0,516633984.0,519331213.0,544810468.0,576375545.0,614875820.0,651872684.0,682786116.0,857593214.0
Paraná,88235715.0,110039414.0,123451530.0,127464507.0,137648311.0,165208891.0,185683859.0,196675612.0,225205255.0,257122269.0,285620202.0,333481152.0,348084191.0,376962822.0,401814164.0,421497870.0,440029403.0,466377036.0,487930594.0,549973062.0
Paraíba,12747021.0,14737920.0,15757832.0,17557226.0,20838016.0,22909811.0,26889573.0,30230406.0,33522492.0,37109137.0,42488349.0,46377299.0,52936483.0,56141890.0,59104781.0,62396776.0,64373595.0,67986074.0,70292034.0,77470331.0
Pará,26482159.0,30270152.0,37272726.0,40522893.0,45983027.0,51846876.0,60956978.0,61665096.0,82684518.0,98710736.0,107080881.0,121224847.0,124584945.0,130899505.0,138107514.0,155232404.0,161349602.0,178376984.0,215935604.0,262904979.0
Pernambuco,36056032.0,38815845.0,44982684.0,50240325.0,55485293.0,62459325.0,70413939.0,79760958.0,97189760.0,110161559.0,127989043.0,141150252.0,155142648.0,156963668.0,167345031.0,181609501.0,186351975.0,197853378.0,193307317.0,220813522.0
Piauí,7122635.0,8414901.0,9406461.0,10711834.0,13360478.0,13736085.0,16203340.0,18946449.0,22269149.0,25941362.0,28637685.0,31283593.0,37723497.0,39149686.0,41416937.0,45365541.0,50378418.0,52780785.0,56391257.0,64028303.0
Rio Grande do Norte,13566803.0,14865441.0,17252398.0,19966918.0,22890124.0,26318259.0,28898860.0,30941054.0,36184502.0,40992925.0,46412208.0,51518457.0,54022584.0,57250867.0,59677389.0,64305995.0,66969562.0,71336780.0,71577107.0,80180733.0
Rio Grande do Sul,98847211.0,119325399.0,131192206.0,136362769.0,147622599.0,168009752.0,190229822.0,204344940.0,241249164.0,265056416.0,287587019.0,332292726.0,357816424.0,381992601.0,408789528.0,423270047.0,457293958.0,482464177.0,470941846.0,581283677.0
Rio de Janeiro,184310915.0,202640789.0,241206738.0,269830061.0,299738183.0,323698286.0,378285800.0,391650854.0,449858101.0,512767905.0,574884973.0,628226069.0,671076844.0,659138952.0,640401206.0,671605668.0,758859047.0,779927917.0,753823711.0,949300770.0
Rondônia,7467630.0,9425010.0,11004641.0,12511821.0,13054713.0,14438376.0,17285542.0,19725010.0,23907887.0,27574714.0,30112720.0,31121413.0,34030982.0,36563333.0,39460359.0,43516147.0,44913978.0,47091336.0,51598741.0,58170096.0
Roraima,2392033.0,2594081.0,2822757.0,3193430.0,3802452.0,4203302.0,4841862.0,5671975.0,6639150.0,7303719.0,7711467.0,9010725.0,9744122.0,10242905.0,11013237.0,12104709.0,13369988.0,14292227.0,16024276.0,18202579.0
Santa Catarina,54481893.0,64098475.0,73618966.0,81549244.0,91063449.0,103728092.0,121477258.0,129098535.0,153726007.0,174068322.0,191794652.0,214512242.0,242553371.0,249079642.0,256754669.0,277270237.0,298227090.0,323263857.0,349275016.0,428570889.0
Sergipe,10332494.0,11749574.0,13336258.0,14430118.0,16419798.0,18218450.0,21418378.0,21707243.0,26404893.0,29108272.0,32853181.0,35335986.0,37472432.0,38556530.0,38877438.0,40711486.0,42017981.0,44689483.0,45409657.0,51861397.0
São Paulo,518878815.0,591454032.0,652955558.0,743042944.0,824529299.0,935653180.0,1042510168.0,1127093826.0,1294695988.0,1436672709.0,1559033444.0,1715238417.0,1858196055.0,1939901907.0,2038757382.0,2120761635.0,2210561949.0,2348338000.0,2377638980.0,2719751231.0
Tocantins,5322563.0,6612339.0,7251580.0,7707340.0,8655613.0,10192844.0,12116393.0,13689804.0,16404816.0,18345688.0,20684430.0,23796656.0,26189323.0,28930291.0,31584816.0,34108132.0,35666183.0,39355941.0,43649803.0,51780764.0
