
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.553
Model:,OLS,  Adj. R-squared (uncentered):,   0.445
Method:,Least Squares,  F-statistic:       ,   5.117
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:36:22,  Log-Likelihood:    ,-1.3234e+05
No. Observations:,  7079,  AIC:               ,2.674e+05
Df Residuals:,  5702,  BIC:               ,2.769e+05
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Contribuição do UF ao PIB Nacional (%),-5.538e+08, 1.05e+08,   -5.265, 0.000, -7.6e+08,-3.48e+08
Proporção do Valor Setorial ao PIB do UF, 2.202e+06, 3.12e+06,    0.706, 0.480,-3.91e+06, 8.32e+06
Cliente_A FERREIRA INDUSTRIA COMERCIO E EXPORTACAO LTDA,-1.489e+07, 4.95e+07,   -0.301, 0.763,-1.12e+08, 8.21e+07
Cliente_A GRINGS S/A, -2.42e+06,  3.4e+07,   -0.071, 0.943,-6.92e+07, 6.43e+07
"Cliente_A,M,C, TEXTIL LTDA,",-1.049e+07,  3.5e+07,   -0.300, 0.764, -7.9e+07, 5.81e+07
"Cliente_A,W, FABER CASTELL S,A,",-9.492e+06, 3.04e+07,   -0.312, 0.755,-6.92e+07, 5.02e+07
"Cliente_AAM DO BRASIL LTDA,",-2.195e+06,  3.5e+07,   -0.063, 0.950,-7.07e+07, 6.63e+07
Cliente_AAT INTERNATIONAL LTDA,  -2.5e+07, 3.97e+07,   -0.629, 0.529,-1.03e+08, 5.29e+07
Cliente_ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO,-2.108e+07, 3.96e+07,   -0.533, 0.594,-9.86e+07, 5.65e+07
Cliente_ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA,-1.997e+07, 3.59e+07,   -0.556, 0.578,-9.04e+07, 5.04e+07
"Cliente_ACECO TI LTDA,",-1.979e+07, 4.61e+07,   -0.429, 0.668, -1.1e+08, 7.06e+07
"Cliente_ACOS VILLARES S/A,", 3.616e+07, 3.14e+07,    1.152, 0.249,-2.54e+07, 9.77e+07
Cliente_ACOTECNICA S/A INDUSTRIA E COMERCIO,-1.404e+07, 3.43e+07,   -0.409, 0.683,-8.14e+07, 5.33e+07
Cliente_ACRINOR ACRILONITRILA DO NORDESTE SA,-1.565e+07, 3.97e+07,   -0.395, 0.693,-9.34e+07, 6.21e+07
Cliente_ACUCAREIRA QUATA S/A,-1.402e+07, 3.12e+07,   -0.449, 0.654,-7.52e+07, 4.72e+07
Cliente_ACUMULADORES MOURA S A,-1.831e+07, 3.75e+07,   -0.488, 0.625,-9.18e+07, 5.52e+07
Cliente_ADAMI SA MADEIRAS,-9.085e+06, 3.21e+07,   -0.283, 0.777,-7.19e+07, 5.37e+07
"Cliente_ADATEX S/A, INDUSTRIAL E COMERCIAL",-2.726e+07, 3.59e+07,   -0.759, 0.448,-9.77e+07, 4.31e+07
Cliente_ADESTE INDUSTRIA DE PRODUTOS ANIMAIS LTDA, -1.27e+07, 3.59e+07,   -0.353, 0.724,-8.31e+07, 5.77e+07
"Cliente_ADIBOARD S,A, - GRUPO ITAUTEC PHILCO",-4.649e+06, 4.61e+07,   -0.101, 0.920, -9.5e+07, 8.57e+07
"Cliente_ADIENT DO BRASIL BANCOS AUTOMOTIVOS LTDA,", -6.64e+06, 4.62e+07,   -0.144, 0.886,-9.71e+07, 8.38e+07
Cliente_ADM DO BRASIL LTDA,-4.388e+06, 4.24e+07,   -0.103, 0.918,-8.75e+07, 7.87e+07
Cliente_AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO, 1.008e+08, 4.98e+07,    2.024, 0.043, 3.19e+06, 1.98e+08
"Cliente_AETHRA SISTEMAS AUTOMOTIVOS S,A,",-1.763e+07, 3.45e+07,   -0.511, 0.610,-8.53e+07,    5e+07
Cliente_AFFONSO DITZEL & CIA LTDA,-1.099e+07, 4.75e+07,   -0.232, 0.817,-1.04e+08, 8.21e+07
Cliente_AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA, 1.456e+07,  3.3e+07,    0.442, 0.659,-5.01e+07, 7.92e+07
"Cliente_AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA,", 1.165e+07, 3.35e+07,    0.348, 0.728, -5.4e+07, 7.73e+07
Cliente_AGCOMEX COMERCIAL EXPORTADORA LTDA,-2.878e+07,  4.7e+07,   -0.612, 0.540,-1.21e+08, 6.33e+07
Cliente_AGRALE SOCIEDADE ANONIMA,-1.437e+05, 3.21e+07,   -0.004, 0.996,-6.31e+07, 6.28e+07
Cliente_AGRICOLA E PECUARIA MORRO AZUL LTDA,-2.913e+07, 4.78e+07,   -0.609, 0.543,-1.23e+08, 6.46e+07
Cliente_AGRICOLA FRAIBURGO SA,-1.553e+07, 3.32e+07,   -0.467, 0.640,-8.07e+07, 4.96e+07
Cliente_AGRICOLA JANDELLE S/A,-1.412e+07,  3.5e+07,   -0.404, 0.686,-8.27e+07, 5.44e+07
Cliente_AGRO FOOD IMPORTACAO E EXPORTACAO LTDA,-1.765e+07, 4.09e+07,   -0.431, 0.666,-9.79e+07, 6.26e+07
