,Cliente,UF,Ano da Operação,Valor da Operação em R$,Valor Desembolsado em Reais,Setor CNAE,Subsetor CNAE Agrupado,Porte do cliente,Natureza,Instituição Financeira Credenciada
2,"MINERVA S,A,", SP,2002-01-01,7028400,7035625.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,"
3,"MINERVA S,A,", SP,2002-01-01,7028400,7035625.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,"
4,FRUTIVITA S/A, PE,2002-01-01,485967,486416.0,AGROPECUÁRIA E PESCA,Agropecuária,PEQUENA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,"
5,CALCADOS CHICARONI LTDA, SP,2002-01-01,120469,120618.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",MÉDIA,PRIVADA,"BANCO FIBRA S,A,"
6,"MINERVA S,A,", SP,2002-01-01,4758800,4765159.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
7,KEPLER WEBER SA, RS,2002-01-01,1208400,1209517.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO UNICO S,A,"
8,KEPLER WEBER SA, RS,2002-01-01,1208400,1210638.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO BRADESCO S,A,"
9,KEPLER WEBER SA, RS,2002-01-01,2416800,2420776.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
10,SANRISIL S/A INDUSTRIA E COMERCIO, SP,2002-01-01,4838859,5825563.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",MÉDIA,PRIVADA,"BANCO ABC BRASIL S,A,"
11,TUPY S/A, SP,2002-01-01,11933500,11949448.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
12,"BRF S,A,", SC,2002-01-01,59667500,59747241.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO BRADESCO S,A,"
13,"BRF S,A,", SC,2002-01-01,59102500,59175408.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA
14,SAMSUNG SDI BRASIL LTDA, AM,2002-01-01,30733300,30768037.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
15,MARICULTURA TROPICAL LTDA, RN,2002-01-01,5916750,5943001.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
16,FRIGOESTRELA S/A, SP,2002-01-01,4846800,4860302.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
17,FRIGOESTRELA S/A, SP,2002-01-01,2423400,2431651.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO RURAL S,A - EM LIQUIDACAO EXTRAJUDICIAL"
18,MARINE - MARICULTURA DO NORDESTE S A, PE,2002-01-01,2723320,2727703.0,AGROPECUÁRIA E PESCA,Agropecuária,MÉDIA,PRIVADA,"BANCO RURAL S,A - EM LIQUIDACAO EXTRAJUDICIAL"
19,CIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA, MG,2002-01-01,7315200,7330294.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,"
20,PAQUETA CALCADOS LTDA, SP,2002-01-01,7268400,7290884.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
21,ADAMI SA MADEIRAS, SC,2002-01-01,2422800,2352000.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
22,ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA, SP,2002-01-01,847490,850723.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",GRANDE,PRIVADA,BANCO RIBEIRAO PRETO S/A
23,SOUTH SERVICE TRADING SA, RS,2002-01-01,8474900,8282050.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,"BANCO ITAUBANK S,A"
24,PAQUETA CALCADOS LTDA, SP,2002-01-01,4938200,4949902.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
25,PEVAL S A, BA,2002-01-01,747198,748506.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,MASSA FALIDA DO BANCO SANTOS
26,EXPORTADORA BOM RETIRO LTDA, RS,2002-01-01,2424100,2434471.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
27,JBS EMBALAGENS METALICAS LTDA, SP,2002-01-01,11466000,11490785.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA
28,PAQUETA CALCADOS LTDA, SP,2002-01-01,4854600,4870092.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
29,FRS S/A AGRO AVICOLA INDUSTRIAL, RS,2002-01-01,19249600,19295154.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
30,NETUNO ALIMENTOS S/A EM RECUPERACAO JUDICIAL, PE,2002-01-01,5534260,5547357.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,"
31,PAQUETA CALCADOS LTDA, SP,2002-01-01,2394700,2398642.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO ALFA DE INVESTIMENTO S,A,"
32,PAQUETA CALCADOS LTDA, SP,2002-01-01,3574050,3581771.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
33,JBS EMBALAGENS METALICAS LTDA, SP,2002-01-01,11913500,11940462.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
34,CERAMARTE LIMITADA, SC,2002-01-01,726068,713239.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,"
35,LAR COOPERATIVA AGROINDUSTRIAL, PR,2002-01-01,4765400,4791053.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO CITIBANK S A
36,LAR COOPERATIVA AGROINDUSTRIAL, PR,2002-01-01,4696400,4712245.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO"
37,NETUNO ALIMENTOS S/A EM RECUPERACAO JUDICIAL, PE,2002-01-01,2113380,2117728.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
38,SOUTH SERVICE TRADING SA, RS,2002-01-01,2359600,2302200.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,BANCO DO BRASIL SA
39,LAR COOPERATIVA AGROINDUSTRIAL, PR,2002-01-01,5858000,5868239.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
40,PAQUETA CALCADOS LTDA, SP,2002-01-01,2343200,2347055.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
41,PAQUETA CALCADOS LTDA, SP,2002-01-01,4686400,4697488.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO UNICO S,A,"
42,PAQUETA CALCADOS LTDA, SP,2002-01-01,3524400,3536723.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO S,A,"
43,PAQUETA CALCADOS LTDA, SP,2002-01-01,2336800,2347060.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO ABC BRASIL S,A,"
